MINPAR lambda1Input;MINPAR lam4EtaInput;MINPAR lamHEta3Input;MINPAR lambda4HEtaInput;MINPAR lambda5HEtaInput;MINPAR lam4SigInput;MINPAR lamHSigInput;MINPAR lamEtaSigInput;MINPAR vSiInput;MINPAR mEta2Input;KAPPAIN Kap(1,1);KAPPAIN Kap(2,2);KAPPAIN Kap(3,3);COUPLINGSYNIN Yn(1,1);COUPLINGSYNIN Yn(1,2);COUPLINGSYNIN Yn(1,3);COUPLINGSYNIN Yn(2,1);COUPLINGSYNIN Yn(2,2);COUPLINGSYNIN Yn(2,3);COUPLINGSYNIN Yn(3,1);COUPLINGSYNIN Yn(3,2);COUPLINGSYNIN Yn(3,3);OTHER alpha;OTHER mH2;OTHER mH1;OTHER NuM;OTHER v;IMCOUPLINGSYNIN IYn(1,1);IMCOUPLINGSYNIN IYn(1,2);IMCOUPLINGSYNIN IYn(1,3);IMCOUPLINGSYNIN IYn(2,1);IMCOUPLINGSYNIN IYn(2,2);IMCOUPLINGSYNIN IYn(2,3);IMCOUPLINGSYNIN IYn(3,1);IMCOUPLINGSYNIN IYn(3,2);IMCOUPLINGSYNIN IYn(3,3);DECAY 25 WIDTH;MASS hh_1;MASS FX0_1;MASS FX0_2;MASS FX0_3;MASS etaR;MASS etaI;DECAY 25 BR(hh_1 -> Ah_2 Ah_2 );DECAY 25 BR(hh_1 -> FX0_1 FX0_1 );DECAY 25 BR(hh_2 -> FX0_2 FX0_2 );DECAY 25 BR(hh_2 -> FX0_3 FX0_3 );MICROMEGAS Xf (Freeze-out temperature);MICROMEGAS Omega h^2 (Dark matter relic density);MICROMEGAS neutron SI;MICROMEGAS sigma_v [cm^3/s] (indirect detection);likelihood
3.8603498879463523;5.501818678706809e-05;1.5734888114205322e-06;0.09672975801494361;0.03557963164392181;0.002842099646017394;-0.07239265779655372;2.9312149129418697e-05;3356.117850828804;5445376.689957771;0.019067568636557217;0.025230370041194557;0.5955075926867897;-9.434520840326233e-05;8.912815122325566e-06;-8.541473696504142e-05;0.00025318047450333337;-6.385815545845072e-05;1.2869213299283928e-05;-0.00014491435206403502;-3.3050472173365664e-05;1.7686488611208785e-05;1.3031934426276466;500.0;125.0;1.5932984194743687e-12;246.0;6.084119996222174e-07;-3.055149491354234e-05;0.00012292162175430346;-6.952570374485434e-07;0.0001061980878689836;-3.131528260008624e-05;-3.480494845853879e-07;5.460136611967133e-05;-3.0160332674861274e-05;0.00187488256;125.007844;-90.4997896;-119.750087;-2826.43842;2334.42771;2333.96567;0.855945702;0.0;0.0;0.0;17.2;106.0;1.649e-47;1.995e-30;0.0
2.319524143697011;2.5410907270399427e-06;0.012690424355882371;1.406579058208351e-06;9.127138028549812e-08;0.00224107709331579;-0.06358717508730716;0.2609996025263931;7476.047370224432;3573801.737614558;0.014640255809320416;0.031061561072634254;0.053931766568644665;0.02138973720018423;0.002978337321481903;-0.06441523065308236;0.2210512744966307;-0.01922977954178723;-0.0008800647809091958;-0.0059706912653123565;0.05088724040728426;-0.005750670319381699;0.8176587205244676;500.0;125.0;2.7362783112507957e-12;246.0;0.006207742333872709;0.06405684832725313;-0.016507832604734797;-0.010242831069491625;-0.1988739431328086;-0.01500209480469853;-0.04428344062945725;0.012561858845194063;-0.06562641307230993;0.00199655642;125.052318;-154.787473;-328.405396;-570.205884;3296.66307;3296.66307;0.0928684607;0.0;0.0;0.0;19.4;22.8;3.754e-47;5.568e-31;0.0
2.259438061784944;0.0004464474116039997;0.0006331774403286498;0.0002463846078270906;8.739842600199694e-07;0.07758771593193249;-0.36939004702552003;1.0936362238291319e-05;1288.8961412394012;8830684.492587944;0.02470839111244918;0.03141299571031034;0.041726946348977785;0.08087678822445635;0.01740970194633979;0.039847036215072164;0.023001641531454266;-0.0009591493731621197;0.02585086825412358;-0.02507744147198818;-0.032236659333686336;0.015436234250648138;0.8021251392562112;500.0;125.0;7.135462375459908e-12;246.0;-0.0444635975862397;-0.016662087810534087;0.02345509622110897;0.046681184022817894;-0.06186605867742626;-0.07776674468045479;-0.010487762593562686;0.1626029258374197;0.0007922735810242885;0.00861733309;125.054183;-45.0378159;-57.2588061;-76.0588081;2971.6527;2971.65269;0.702863309;0.0608580489;0.0;0.0;18.5;55.2;1.042e-46;6.529e-35;0.0
2.2421451313889413;0.0005398683935576144;1.806477394107694e-05;0.002545721494959728;0.002125397604667911;0.04123514283996426;-0.2682742737650506;2.0927898247760067e-06;1775.1562479077054;551389.5626099744;0.018461620687057655;0.03994363665145699;0.5162108642591067;6.0225276911494786e-05;-0.0003610435920678741;4.4528675375917916e-05;0.0007055160149160093;-0.00011627557534946971;9.766364352825402e-05;-5.82545522188504e-05;3.0110485017786643e-05;-9.330341624640536e-05;0.7976581855714691;500.0;125.0;2.365216272871429e-12;246.0;6.236046131933556e-05;-3.8728690382386444e-05;0.00017033037393810314;6.521450485275245e-05;-0.00014465338338122668;0.00020168691315113215;-1.887026376756343e-05;4.326537589201709e-05;-8.835144011271138e-05;0.0053172641;125.054535;-46.3469682;-100.276499;-1295.92149;742.65405;742.567294;0.595328643;0.049464053;0.0;0.0;18.6;52.9;5.825e-47;2.281e-35;0.0
2.3713941300694072;0.0006292212962285257;3.33290083077489e-05;0.008980134368816116;3.575932629294796e-07;0.00844370170684345;-0.12474040393531206;3.2743232447393075e-05;3802.969913767088;9667852.33367437;0.07284471636646543;0.11831355149510943;0.38025298997260587;0.03788749954826304;-0.025645239090218493;0.006712676118429788;0.0950101846583269;0.01653904115481598;-0.00849386055679332;-0.009419030457814196;0.0001344253624926006;-0.011525420770142568;0.8310928358665075;500.0;125.0;3.0244171198612775e-12;246.0;0.003962567256858044;0.03181986405516149;0.029498171920792127;-0.0026146614192202352;-0.03515101382008516;-0.022374420979312717;3.0348631859698246e-05;0.012479813834414353;-0.008063402955317938;0.00249369762;125.050895;-391.774329;-636.315594;-2045.08115;3109.39898;3109.39897;0.294557911;0.0;0.0;0.0;21.2;6.9;9.322e-46;1.022e-28;0.0
1.2756065683936404;4.321290337958965e-05;0.03328446404703521;0.00695617479055502;4.6112941611293575e-07;0.7199563286203652;-0.8196044917569284;1.0657147078231402e-06;511.5904161264825;3974761.3003422855;0.013649985623498988;0.08535051949671027;0.9983368923220364;-0.33737685161149694;0.268247452264859;0.3843069581633721;0.20925413992344796;0.06825698209440585;0.1001697254236291;0.001182198136574419;-0.03598686677864515;0.028175568280622187;0.5381399766887962;500.0;125.0;7.124925752187033e-11;246.0;-0.000869705738278468;0.060723225031537466;0.07088214961023204;-0.0007734416342316195;0.002676809013867184;0.02623957569724046;0.0026023522673288093;0.049363229569283046;-0.03266323654571004;0.022700502;125.082668;-9.87574159;-61.7509375;-722.294832;1993.98619;1993.98619;0.862019077;0.0103476695;0.0;0.0;14.4;239.0;2.143e-47;4.575e-35;0.0
0.2738352332030183;2.3299199231561355e-05;0.024279304202934966;0.05684205843684518;0.00040971618591798936;0.8594536174511016;-0.11223984988186637;0.018701780203420497;538.3133850742713;2238308.9316250565;0.01129868766873192;0.014622771622021195;0.7531648440196912;-0.0035882316183782816;0.0019275338670084712;-0.0003499024336176861;0.002702658350765318;-0.002268615208557692;-0.0006274055374922187;-0.0005704486030957739;0.0010014153727207625;0.00039231377433970996;0.063588329462232;500.0;125.0;3.2595811912036826e-14;246.0;0.00046862310275199836;0.002681575237105684;0.00035315652744719717;0.0009012519873406866;-0.000808299865059651;0.0007047117119046856;-0.0007998149447931847;-0.000292821036828866;-0.000717613280144626;0.0041470134;125.11162;-8.60158097;-11.1321702;-573.376914;1497.82846;1497.82017;0.0655896094;0.000602547952;0.0;0.0;13.8;371.0;2.971e-49;2.762e-35;0.0
1.2703517917199518;0.18069564798835763;0.33655383650410603;0.31337349367058864;0.010967965501670176;0.04910015754438886;-0.21350169760437995;0.010797688333866205;1960.6505079739443;292202.9335585676;0.10460962268124464;0.207602650840396;0.8799685967462325;0.00012774253405505357;-0.0003930967710816346;-0.0002574461715488094;0.0006799571164356595;0.00010940910420850673;-0.000131455508080498;-4.876006731251194e-05;-0.00016927342180075584;-0.0004026410009424623;0.5365972295324959;500.0;125.0;8.958216363479637e-10;246.0;0.00010342480477256798;-9.243769444759694e-05;0.0005007146248598845;-2.0523030946528902e-05;-3.9982959372363555e-06;1.7715711030174655e-05;-0.00010924097998659614;0.000513421988517588;-9.623468861697221e-05;0.00419003847;125.082807;-290.059327;-575.636456;-2439.95866;577.052968;576.476539;0.316323886;0.0;0.0;0.0;23.6;0.492;1.494e-45;3.166e-28;0.0
0.30317683815558305;1.2659424269910132e-05;0.5357572601858666;1.9436839364858544e-05;0.0022147145098020365;0.002831499843418583;-0.010923137433014495;8.707986627944581e-05;9345.110161257962;2239671.644835001;0.011308840660241829;0.037675664573934176;0.5107792495822046;-0.0006043062432681359;0.0002691575681545206;-3.279601200605914e-05;0.0006665141747764166;-3.7062711944187494e-05;-0.00010841639810993403;-0.00011974519630773661;-4.8065273252454356e-05;-0.0001381197509270984;0.1079783353195505;500.0;125.0;1.8918823311365888e-12;246.0;1.280909867142238e-05;0.00016997727899711225;0.00015747221469565055;-5.531426335001901e-06;-6.968972954635097e-05;-1.7682004870130576e-05;-1.2422456962338407e-05;-0.00015485968736085546;-8.296231527486826e-05;0.00384139885;125.110761;-149.457418;-497.920818;-6750.44836;1503.25718;1503.21252;0.000675745059;0.0;0.0;0.0;16.1;564.0;1.032e-48;4.461e-33;0.0
2.098383461190346;0.0010175160389629448;0.05755429784215054;6.421902238521042e-06;0.0009275876847627489;0.0018111880332829333;-0.05438102500541032;2.8112806228195055e-06;8749.057952415249;644104.507761016;0.19417692951413998;0.36899385532889106;0.4412211129707919;-0.0012339809433102467;0.0016101305072351126;0.001819964795572926;0.0018046801696937453;0.00013326252497832572;0.0012053993464270073;-0.00011896509534247697;0.000764674376846855;-0.0003927686232021963;0.7605272089014239;500.0;125.0;6.821654018004001e-10;246.0;-0.0012992033525707136;-0.0008170987428332983;-4.837023324506513e-05;-0.00032685847606379626;-0.0003864298323432643;-0.001259900900384936;0.0007995456511447198;0.0016709555101953179;-0.0011841375519988733;0.00215381047;125.058678;-2402.55787;-4565.57499;-5459.24477;803.731927;803.696943;0.0561300349;0.0;0.0;0.0;25.6;0.253;9.364e-48;3.325e-26;0.6612546433067128
